filename,width,height,class,xmin,ymin,xmax,ymax
hard_hat_workers100.png,416,415,helmet,312,169,408,253
hard_hat_workers100.png,416,415,helmet,129,84,236,187
hard_hat_workers100.png,416,415,helmet,0,96,81,190
hard_hat_workers100.png,416,415,helmet,128,0,236,75
hard_hat_workers100.png,416,415,helmet,0,0,81,62
hard_hat_workers101.png,416,416,head,110,129,143,170
hard_hat_workers101.png,416,416,head,201,142,230,179
hard_hat_workers101.png,416,416,head,251,132,271,164
hard_hat_workers101.png,416,416,head,267,135,289,168
hard_hat_workers101.png,416,416,head,335,157,348,171
hard_hat_workers102.png,416,415,helmet,140,104,231,213
hard_hat_workers102.png,416,415,helmet,201,137,258,222
hard_hat_workers102.png,416,415,helmet,139,0,231,35
hard_hat_workers103.png,416,415,helmet,138,209,166,235
hard_hat_workers103.png,416,415,helmet,262,136,286,164
hard_hat_workers104.png,416,416,head,324,133,378,190
hard_hat_workers104.png,416,416,head,151,139,193,188
hard_hat_workers104.png,416,416,head,19,155,58,201
hard_hat_workers104.png,416,416,head,270,138,309,187
hard_hat_workers104.png,416,416,head,368,130,404,179
hard_hat_workers105.png,415,416,helmet,229,210,256,243
hard_hat_workers105.png,415,416,helmet,287,290,309,322
hard_hat_workers105.png,415,416,helmet,99,75,121,103
hard_hat_workers105.png,415,416,helmet,163,239,189,267
hard_hat_workers105.png,415,416,helmet,252,89,273,120
hard_hat_workers105.png,415,416,helmet,386,290,408,322
hard_hat_workers105.png,415,416,helmet,15,75,37,103
hard_hat_workers106.png,416,416,helmet,244,70,339,182
hard_hat_workers106.png,416,416,helmet,243,0,339,71
hard_hat_workers107.png,416,415,helmet,223,192,241,219
hard_hat_workers107.png,416,415,helmet,309,192,330,216
hard_hat_workers108.png,416,415,helmet,122,174,170,224
hard_hat_workers108.png,416,415,helmet,257,187,298,228
hard_hat_workers109.png,416,416,helmet,26,154,47,179
hard_hat_workers109.png,416,416,helmet,94,145,124,179
hard_hat_workers109.png,416,416,helmet,60,158,70,172
hard_hat_workers109.png,416,416,helmet,316,114,380,193
hard_hat_workers110.png,416,416,helmet,227,206,254,235
hard_hat_workers111.png,416,416,helmet,278,87,358,175
hard_hat_workers111.png,416,416,helmet,278,0,359,42
hard_hat_workers112.png,416,415,helmet,101,143,152,201
hard_hat_workers113.png,416,416,helmet,333,200,395,256
hard_hat_workers114.png,416,415,helmet,306,99,367,181
hard_hat_workers114.png,416,415,helmet,176,133,249,218
hard_hat_workers114.png,416,415,helmet,42,188,115,270
hard_hat_workers114.png,416,415,helmet,51,94,105,183
hard_hat_workers114.png,416,415,helmet,135,130,198,211
hard_hat_workers114.png,416,415,helmet,9,92,66,193
hard_hat_workers114.png,416,415,helmet,110,99,164,148
hard_hat_workers114.png,416,415,helmet,305,0,367,40
hard_hat_workers114.png,416,415,helmet,51,0,106,45
hard_hat_workers114.png,416,415,helmet,8,0,66,47
hard_hat_workers114.png,416,415,helmet,110,0,165,40
hard_hat_workers115.png,416,416,helmet,163,116,196,148
hard_hat_workers116.png,416,416,helmet,155,119,207,171
hard_hat_workers116.png,416,416,helmet,175,175,195,199
hard_hat_workers117.png,416,416,helmet,180,105,225,161
hard_hat_workers117.png,416,416,helmet,180,21,225,77
hard_hat_workers118.png,416,415,helmet,325,84,397,169
hard_hat_workers118.png,416,415,helmet,325,0,398,55
hard_hat_workers119.png,416,416,helmet,87,6,119,43
hard_hat_workers119.png,416,416,helmet,219,136,249,181
hard_hat_workers120.png,416,416,helmet,117,125,180,197
hard_hat_workers120.png,416,416,helmet,239,114,311,192
hard_hat_workers120.png,416,416,helmet,239,0,312,23
hard_hat_workers121.png,416,415,helmet,343,96,378,137
hard_hat_workers121.png,416,415,helmet,219,85,253,123
hard_hat_workers121.png,416,415,helmet,394,96,415,130
hard_hat_workers121.png,416,415,helmet,329,102,353,135
hard_hat_workers121.png,416,415,helmet,178,146,232,205
hard_hat_workers121.png,416,415,helmet,77,148,101,172
hard_hat_workers121.png,416,415,helmet,292,109,306,128
hard_hat_workers121.png,416,415,helmet,223,128,242,151
hard_hat_workers121.png,416,415,helmet,343,2,378,43
hard_hat_workers121.png,416,415,helmet,219,15,253,53
hard_hat_workers121.png,416,415,helmet,394,8,415,42
hard_hat_workers121.png,416,415,helmet,329,4,353,37
hard_hat_workers121.png,416,415,helmet,292,11,306,30
hard_hat_workers121.png,416,415,helmet,222,0,242,11
hard_hat_workers122.png,416,415,helmet,156,142,180,176
hard_hat_workers122.png,416,415,helmet,392,147,414,181
hard_hat_workers122.png,416,415,helmet,320,144,341,175
hard_hat_workers122.png,416,415,helmet,129,147,152,176
hard_hat_workers122.png,416,415,helmet,299,152,318,182
hard_hat_workers122.png,416,415,helmet,49,257,80,287
hard_hat_workers122.png,416,415,head,56,142,85,175
hard_hat_workers122.png,416,415,head,265,151,285,180
hard_hat_workers122.png,416,415,helmet,193,154,216,185
hard_hat_workers122.png,416,415,helmet,247,151,264,180
hard_hat_workers122.png,416,415,head,213,155,231,179
